qa	['阿', '啊']
dang	['唐', '塘', '糖', '搪', '堂', '棠', '膛']
thangq	['倘', '躺', '淌']
daw	['掏', '濤', '桃', '逃', '淘', '陶', '萄']
jiew	['陶', '搖', '遙', '謠', '窰', '姚', '榆']
thawq	['討']
thawh	['套']
deok	['特']
deong	['騰', '謄', '藤']
dong	['疼', '彤']
thej	['梯']
thejq	['體', '涕']
thejh	['涕', '剃', '替', '屜']
then	['天', '吞']
them	['添', '沾']
trinh	['填', '鎮']
dem	['甜', '恬']
themq	['舔']
thew	['挑', '佻']
thewh	['眺']
thet	['鐵']
thengh	['聽']
deng	['亭', '停', '廷', '庭', '蜓', '霆', '挺']
denq	['蜓', '蜒']
thoung	['通', '俑']
thongh	['統']
thoungq	['桶', '捅']
thoungh	['痛']
thou	['偷']
dou	['頭', '投', '骰', '揄']
thouh	['透']
dot	['突', '凸']
thouk	['禿']
thoq	['土', '吐']
thoh	['吐', '兔']
thwan	['湍']
tjwien	['湍', '專', '磚']
thoj	['推']
tjhwi	['推']
doj	['頹']
thojq	['腿']
thojh	['退', '褪']
thonh	['褪']
thwah	['蛻', '唾']
thwajh	['蛻']
theon	['吞']
trwin	['屯']
thah	['拖']
thwat	['脫']
qwae	['蛙', '哇', '窪']
qwee	['蛙']
qee	['哇', '娃']
qweet	['挖']
ngwaeh	['瓦']
ngwaeq	['瓦']
muot	['襪']
hwee	['歪']
qweej	['歪', '崴']
ngwajh	['外']
qwaen	['彎', '灣']
quon	['蜿', '宛', '冤', '鴛', '怨']
quonq	['蜿', '宛', '婉', '苑']
qwan	['蜿', '豌']
ngwanh	['玩']
ngwaen	['頑']
qwanq	['碗']
qwanh	['惋', '腕']
quangq	['汪', '枉']
qwang	['汪']
qwangh	['汪']
uang	['王']
uangh	['王', '旺']
uangq	['往']
muangq	['罔', '網', '惘']
muangh	['忘', '妄', '望']
ngue	['危']
quj	['威']
muj	['微', '薇']
nguj	['巍']
qoj	['偎', '煨']
uj	['韋', '圍', '違']
ue	['爲']
ueh	['爲']
jwi	['維', '惟', '唯', '遺']
jwiq	['唯']
ui	['帷']
ngoj	['桅']
ujq	['偉', '葦']
que	['委', '萎', '倭']
queq	['委']
queh	['萎']
mujq	['尾']
ngueh	['僞']
uih	['位']
mujh	['未', '味']
qujh	['畏', '喂', '餵', '尉', '慰', '蔚', '熨']
qut	['尉', '蔚', '鬱', '熨']
ngujh	['魏']
qon	['溫', '瘟', '鴛']
qonq	['穩']
munq	['吻']
qoung	['翁', '嗡']
qoungq	['嗡']
qoungh	['瓮']
kwee	['蝸']
qwaq	['倭']
qoeuk	['喔', '握', '幄']
ngaq	['我']
ngwah	['臥']
qok	['沃']
qwat	['斡']
uo	['汙', '迂', '于', '芋']
muo	['誣', '巫', '無', '蕪', '毋']
qouk	['屋']
ngae	['吾', '呀', '牙', '芽', '蚜', '衙']
ngo	['吾', '梧', '吳', '蜈']
muoq	['武', '鵡', '舞', '嫵', '侮']
ngoq	['五', '伍', '午']
ngoh	['忤', '捂', '誤', '悟', '晤', '娛']
muoh	['務', '霧', '鶩']
mut	['勿', '物']
qoq	['塢']
hyj	['希', '稀', '烯']
hyjq	['唏']
hy	['熙', '嬉', '嘻', '禧']
khej	['溪']
ghej	['蹊']
hyh	['嬉']
siaek	['昔', '惜']
syk	['息', '熄', '媳']
sek	['析', '晰', '蜥', '錫']
sit	['悉', '蟋', '膝']
hyip	['吸']
zip	['習', '襲']
hyq	['喜']
sejq	['洗']
senq	['洗', '銑']
sieq	['徙']
sejh	['細', '些', '婿']
khyaek	['隙']
haet	['瞎']
haep	['呷']
ghaeh	['暇', '下', '夏']
ghep	['俠', '協', '挾', '叶']
ghaet	['轄']
ghaep	['匣']
sen	['先']
senh	['先', '汛']
sien	['鮮', '仙']
sienh	['鮮', '線', '腺']
sienq	['鮮', '癬']
hyon	['掀', '鍁', '軒']
siem	['纖', '暹']
gheen	['閑', '嫺']
ghen	['賢', '弦', '絃', '舷']
hwenh	['絃', '絢']
ghem	['嫌']
ghaem	['銜', '啣']
jienh	['涎', '羨', '延', '衍']
zien	['涎']
henq	['顯', '蜆']
hyemq	['險']
ghenq	['蜆']
gheenq	['限']
ji	['羨', '夷', '姨', '胰', '痍', '彝']
zienh	['羨']
hyonh	['憲', '獻']
gheemh	['陷', '餡']
ghwen	['縣', '玄', '懸', '眩']
ghwenh	['縣', '眩', '炫']
hyang	['香', '鄉']
syang	['相', '湘', '箱', '廂', '襄', '鑲']
syangh	['相']
jyang	['詳', '羊', '洋', '徉', '陽', '揚', '楊', '瘍']
zyang	['詳', '祥', '翔', '洋']
syangq	['想']
hyangh	['向', '嚮']
zyangq	['象', '像', '橡']
ghoeungq	['項']
siewh	['肖', '笑']
syak	['削']
hyew	['囂']
ghaew	['淆', '肴']
siewq	['小']
hewq	['曉']
haewh	['孝', '哮']
haew	['哮']
sewh	['嘯']
sah	['些']
siae	['些']
hyot	['歇']
set	['楔', '屑']
ghee	['鞋']
jiae	['斜', '邪', '耶', '椰', '揶', '爺']
ziae	['斜', '邪']
hyomh	['脅']
hyop	['脅']
het	['擷']
siaeq	['寫', '瀉']
ziaeh	['謝']
siaeh	['瀉', '卸']
gheejh	['械']
jiejh	['洩', '曳', '裔']
siet	['褻', '薛']
sin	['新', '薪', '辛', '鋅']
sim	['心', '芯']
hyn	['欣']
heng	['馨']
sinh	['信', '訊', '迅', '汛']
hyinh	['釁']
seng	['星', '惺', '腥', '猩', '醒']
sengh	['腥', '醒']
hyng	['興']
hyngh	['興']
gheng	['形', '刑', '邢', '型']
sengq	['醒']
ghaengq	['杏']
siaengh	['姓', '性']
gheengq	['幸', '倖']
huaeng	['兄']
huong	['凶', '兇', '匈', '洶', '胸']
huongq	['兇', '洶']
ung	['雄', '熊']
su	['修', '羞']
hu	['休']
huq	['朽']
zuh	['袖']
hyo	['虛', '噓']
khyo	['墟']
hyoh	['噓']
huo	['吁', '于']
uoh	['吁', '雨', '羽', '芋']
zyo	['徐']
hyoq	['許']
huoq	['栩', '煦']
uoq	['栩', '雨', '羽', '宇', '禹']
nraeh	['絮']
syoh	['絮']
trhyoh	['絮']
swit	['恤']
huok	['旭']
huoh	['煦', '酗']
swien	['宣']
huon	['喧', '暄']
zwienh	['旋', '漩']
swienh	['選', '渲']
swienq	['選']
hua	['靴']
ghoeuk	['學']
ghwet	['穴']
swiet	['雪', '鱈']
hyak	['謔']
hunh	['薰', '訓']
zim	['尋']
zwin	['循', '旬', '巡', '馴']
swin	['詢', '峋']
zwinh	['徇', '殉']
sonh	['遜']
dzimq	['蕈']
hae	['呀', '蚜']
qae	['鴉', '丫']
qaep	['壓', '鴨', '押', '閘']
qaeh	['啞', '亞']
qaek	['啞']
qaeq	['啞']
ngye	['崖', '涯', '宜', '儀']
ngyo	['衙', '魚', '漁']
ngyoq	['衙', '語', '禦']
ngaeh	['訝', '御']
qen	['煙', '菸', '咽', '胭', '燕']
qyoh	['菸', '瘀', '淤']
qenh	['咽', '燕', '宴', '嚥']
qet	['咽']
qyem	['淹', '醃']
qyom	['醃']
hyen	['嫣']
qyenq	['嫣']
qyonh	['嫣', '堰']
qeen	['殷']
qyn	['殷']
qynq	['殷', '隱', '癮']
jien	['延', '筵', '蜒']
tjiaeng	['延', '正', '征', '怔']
ngen	['研', '妍']
ngenh	['研', '硯']
jiem	['簷', '鹽', '閻']
ngyom	['嚴']
ngaem	['岩']
ngyon	['言']
yem	['炎']
ngaen	['顏']
jiemh	['鹽', '艷', '焰']
qyemq	['奄', '掩']
ngeenq	['眼']
jienq	['演', '衍']
jinq	['演', '引', '蚓']
ngyomq	['儼']
qiemq	['魘', '厭']
qiep	['魘', '厭']
ngyenh	['彥', '諺', '唁', '這']
ngyemh	['驗']
qenq	['宴']
qiemh	['厭']
ngaenh	['雁']
qienh	['堰']
qyonq	['堰']
qyang	['央', '秧', '殃', '鴦']
qyangq	['秧']
qang	['鴦']
jyangh	['養', '樣', '漾', '恙']
jyangq	['養', '癢', '氧']
ngyangh	['仰']
ngyangq	['仰']
qiew	['要', '腰', '邀']
qiewh	['要', '約']
qyew	['夭', '妖']
qyewq	['夭']
qyak	['約', '喲']
qew	['吆']
jiewh	['搖', '耀']
ngaewq	['咬']
qaew	['咬']
qewq	['杳']
jiewq	['舀']
ju	['舀', '悠', '由', '油', '鈾', '遊', '游', '猶', '揄']
juo	['舀', '愉', '逾', '榆', '揄', '瑜', '覦', '腴']
jyak	['藥', '鑰', '躍']
jiaeq	['也', '野', '冶']
ngyop	['業']
jiep	['葉']
qyot	['謁']
qit	['一', '壹']
qyj	['衣', '依']
qyjh	['衣']
qi	['伊', '黝']
qy	['醫']
qye	['漪', '椅']
qyeq	['椅', '倚']
qip	['揖']
jwih	['遺']
ngy	['疑']
jyq	['以', '已']
qyeh	['倚']
ngyeq	['蟻']
qyit	['乙']
yq	['矣']
qyh	['意']
qyk	['億', '憶']
ngyeh	['義', '議', '誼']
qyik	['抑']
qiaek	['益']
jit	['溢', '逸']
ngyjh	['毅']
ngiejh	['藝', '囈']
jyk	['翼', '翌']
jwiaek	['役', '疫']
jih	['肄']
qyip	['邑']
qin	['因', '茵', '姻']
qyim	['音', '陰']
ngyin	['銀']
kheenq	['齦']
ngyn	['齦']
ngyim	['吟']
ngyimh	['吟']
jim	['淫']
jinh	['引']
qyimh	['飲', '蔭']
qyimq	['飲']
qynh	['隱']
qinh	['印']
qyaeng	['英']
qyng	['應', '膺', '鷹']
qyngh	['應']
qiaeng	['嬰', '纓']
jwiaeng	['營']
ghweng	['螢', '熒']
qwengh	['瑩']
qwiaeng	['縈']
ngyaeng	['迎']
ngyaengh	['迎']
jyng	['蠅']
jiaeng	['盈', '贏']
qyaengq	['影']
jwiaengq	['穎']
ngeengh	['硬']
qyaengh	['映']
juk	['唷', '育', '毓', '粥']
trhuong	['傭']
quong	['雍', '臃']
quongh	['雍']
quongq	['擁', '臃']
uaengq	['永']
uaengh	['泳', '詠']
juongh	['用']
qu	['憂', '優']
qiw	['幽']
juh	['油', '柚', '猶']
druk	['柚', '軸', '逐']
u	['郵', '尤', '魷']
uq	['有', '友', '右']
juq	['莠', '誘']
qiwq	['黝']
uh	['又', '右', '佑']
qiwh	['幼']
qyo	['淤', '於']
quo	['迂']
djiae	['余']
jyo	['余', '餘', '輿', '予', '與', '譽']
nguo	['娛', '虞', '愚', '隅']
douq	['揄']
juoh	['覦', '裕', '喻', '諭', '籲']
jyoh	['輿', '與', '譽', '預', '豫']
ngyoh	['語', '御', '馭']
jyoq	['予', '與']
juok	['欲', '慾', '浴']
juoq	['愈', '癒']
nguoh	['寓', '遇']
nguok	['玉', '獄']
uik	['域']
tjuk	['粥', '祝']
qwen	['淵']
nguon	['元', '原', '源']
uon	['園', '袁', '猿', '轅', '援', '媛', '垣']
uen	['員', '圓']
un	['員', '云', '芸', '紜', '耘', '雲']
unh	['員', '暈', '運', '韻']
uenh	['援', '媛', '院']
jwienh	['緣']
uonh	['遠']
uonq	['遠']
nguonh	['願']
quonh	['怨']
uot	['曰', '越', '粵']
nguot	['月']
jwin	['勻']
jwinq	['允']
jyngh	['孕']
uinh	['韻']
qun	['蘊']
qunq	['蘊', '醞']
qunh	['醞']
tsreet	['紮', '扎']
dzop	['雜', '砸']
tseoj	['災', '栽']
tseojh	['載', '再']
tseojq	['載', '宰']
tsy	['仔', '茲', '滋']
tsyq	['仔', '子', '籽']
dzeojq	['在']
dza	['咱']
dzamh	['暫']
tsangq	['髒']
tsang	['贓']
tsangh	['葬']
dzak	['鑿', '昨']
tsak	['鑿', '作']
tsawq	['早', '澡', '藻', '蚤', '棗']
tsawh	['躁', '竈']
dzawq	['造', '皁']
tseok	['則']
draek	['擇', '澤', '宅']
tsreek	['責', '嘖', '債']
dzreek	['嘖']
tsraek	['嘖', '窄']
dzeok	['賊']
tsoimq	['怎']
tseongh	['增']
dzeongh	['贈']
tsongh	['綜']
dzraet	['鍘']
tsreep	['眨']
dzraeh	['乍']
tsraeh	['詐', '榨']
trae	['咤']
tsreeh	['債']
dzraejh	['寨']
tjiem	['占', '詹', '瞻']
tjiemh	['占']
triem	['沾']
tjien	['氈']
trienq	['展', '輾']
tsreemq	['斬', '嶄']
dzreemq	['嶄']
tsreenq	['盞']
treem	['站']
treemh	['站']
dzraenh	['棧']
dzryenq	['棧']
dreemq	['湛']
tsreemh	['蘸']
tryang	['張', '漲']
tryangh	['張', '漲', '帳', '脹', '賬']
tjyang	['章', '彰', '漳', '樟', '蟑', '障']
tjyangq	['掌']
dryangq	['丈', '仗', '杖']
tjyangh	['障']
tjiew	['招', '昭']
dryak	['着', '著']
tsraewq	['找', '爪', '抓']
tjiewq	['沼']
djiewh	['召']
driewh	['召']
tjiewh	['照']
driewq	['趙', '兆', '肇']
traewh	['罩']
tjiae	['遮', '諸']
triet	['哲']
triep	['輒']
tjiaeh	['蔗', '炙']
tjin	['真', '甄', '振']
triaeng	['貞', '禎']
trhiaeng	['偵']
trhiaengh	['偵']
trin	['珍']
tjim	['針', '鍼', '斟']
tjimh	['針', '枕']
giem	['鍼']
trim	['砧']
tjhip	['斟']
tsryin	['榛']
kien	['甄']
tjimq	['枕']
tjinq	['診', '疹', '縝']
tjhin	['縝']
trhin	['縝']
tjinh	['震', '振']
tsreeng	['爭', '箏', '掙']
tsreengh	['掙', '諍']
tjiaengh	['正', '政', '症']
tryng	['徵', '癥', '症']
tryq	['徵']
tjyng	['蒸']
tjiaengq	['整']
tjyngq	['拯']
tjyngh	['證']
tjy	['之', '芝']
trie	['知', '蜘']
tjyk	['織', '職']
tjip	['汁', '執']
dryk	['直', '值']
dryh	['值', '植', '治']
drit	['姪', '秩']
tjit	['侄', '質']
tjyq	['止', '址', '趾']
trieh	['智']
tjih	['至', '摯']
trih	['致', '質']
drih	['緻', '治', '稚']
tjiejh	['制', '製']
tryh	['置']
driejh	['滯']
driaek	['擲']
dryq	['峙']
tet	['窒']
trit	['窒']
trung	['中', '忠', '衷']
trungh	['中', '衷']
tjung	['終', '衆']
tjuongh	['種']
tjuongq	['種', '腫', '踵']
tjungh	['衆']
tju	['周', '週', '州', '洲', '舟']
tsrhu	['謅']
tjuq	['帚']
tsruh	['皺', '縐']
truh	['晝']
dzruh	['驟']
druq	['紂']
tjuh	['咒', '祝']
druh	['宙']
tjuo	['朱', '珠']
tryo	['豬']
tjyo	['諸']
truk	['竹', '築']
drwit	['朮']
tjuoq	['主']
truoq	['拄', '柱']
tjyoq	['煮']
truoh	['住', '駐', '註']
tjuoh	['注', '蛀', '註', '鑄']
druoq	['柱']
tryoh	['著']
tryoq	['著', '貯']
dzryoh	['助']
tsraew	['抓']
tsraewh	['抓']
jiet	['拽']
trwienq	['轉']
dreemh	['賺']
dzruenq	['撰']
dzrwaenq	['撰', '饌']
dzruenh	['饌']
tsryang	['妝', '莊', '裝']
tsryangh	['裝', '壯']
troeung	['樁']
dzryangh	['狀']
trwi	['追']
tjwi	['錐']
tjwiejh	['贅']
tjwin	['諄']
tjwiet	['準', '拙']
troeuk	['桌', '啄', '琢', '卓']
tsroeuk	['捉']
droeuk	['濁', '鐲', '濯', '擢']
touk	['啄']
draewh	['濯']
tsruet	['茁']
tsrweet	['茁']
tsi	['資', '咨', '姿', '諮']
tsiq	['姊']
tsieq	['紫']
tsryq	['滓']
dzyh	['字']
dzieh	['漬']
tsong	['宗']
tsoung	['棕']
tsuong	['蹤', '縱']
tsoungq	['總']
tsuongh	['縱']
tsoungh	['糉']
tsru	['鄒']
tsouh	['走', '奏', '揍']
tsouq	['走']
tso	['租']
tsuoh	['足']
tsuok	['足']
tsoq	['組', '祖']
tsryoh	['阻', '詛']
tsryoq	['阻']
tswan	['鑽']
tswanh	['鑽']
tswanq	['纂']
tswieq	['嘴']
tswajh	['最']
tswih	['醉']
dzojq	['罪']
tson	['尊', '樽']
tswin	['遵']
tsah	['作', '左', '佐']
tsoh	['作', '做']
tsaq	['左']
dzwah	['坐', '座']
dzwaq	['坐']
